Title,Location,Link,Distance,Review_Score,Ketegori,Number_Of_Reviews,Details
"The Taj Mahal Tower Mumbai
"Hotel Jodiya Near CST
Opens in new window","South Mumbai, Mumbai",https://www.booking.com/hotel/in/jodia-mumbai-maharashtra-indi.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=341&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660910103&all_sr_blocks=807861701_343458100_2_0_0&highlighted_blocks=807861701_343458100_2_0_0&matching_block_id=807861701_343458100_2_0_0&sr_pri_blocks=807861701_343458100_2_0_0__1680000&from_beach_sr=1&beach_sr_walking_distance=2210&from=searchresults#hotelTmpl,2.8,5.9,Review score ,10.0,Deluxe Double Room
"Welcome Guest House
Opens in new window","South Mumbai, Mumbai",https://www.booking.com/hotel/in/welcome-guest-house-mumbai.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=342&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660910103&all_sr_blocks=206528606_200838318_2_0_0&highlighted_blocks=206528606_200838318_2_0_0&matching_block_id=206528606_200838318_2_0_0&sr_pri_blocks=206528606_200838318_2_0_0__1539300&from_beach_sr=1&from=searchresults#hotelTmpl,1.8,7.3,Good ,113.0,Double or Twin Room
"Hotel Auris
Opens in new window","Western Suburbs, Mumbai",https://www.booking.com/hotel/in/auris-mumbai.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=343&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660910103&all_sr_blocks=610679601_239105873_2_41_0&highlighted_blocks=610679601_239105873_2_41_0&matching_block_id=610679601_239105873_2_41_0&sr_pri_blocks=610679601_239105873_2_41_0__4829300&from_beach_sr=1&from=searchresults#hotelTmpl,18.1,8.1,Very good ,36.0,Double or Twin Room
"GATEWAY INN
Opens in new window","Western Suburbs, Mumbai",https://www.booking.com/hotel/in/gateway-inn-mumbai.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=344&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660910103&all_sr_blocks=574858703_351246079_2_0_0&highlighted_blocks=574858703_351246079_2_0_0&matching_block_id=574858703_351246079_2_0_0&sr_pri_blocks=574858703_351246079_2_0_0__1330000&from_beach_sr=1&from=searchresults#hotelTmpl,16.6,7.5,Good ,143.0,Deluxe Room
"OYO 7407 Hotel Blue Sea
Opens in new window","Western Suburbs, Mumbai",https://www.booking.com/hotel/in/oyo-rooms-sakinaka.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=346&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660910103&all_sr_blocks=225536508_328150585_2_0_0&highlighted_blocks=225536508_328150585_2_0_0&matching_block_id=225536508_328150585_2_0_0&sr_pri_blocks=225536508_328150585_2_0_0__986518&from_beach_sr=1&from=searchresults#hotelTmpl,16.3,1.7,Review score ,11.0,Small Double Room
"Lucky Hotel Bandra
Opens in new window","Bandra, Mumbai",https://www.booking.com/hotel/in/lucky-hotels-amp-restaurants.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=347&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660910103&all_sr_blocks=113809202_139096995_2_0_0&highlighted_blocks=113809202_139096995_2_0_0&matching_block_id=113809202_139096995_2_0_0&sr_pri_blocks=113809202_139096995_2_0_0__2730000&from_beach_sr=1&beach_sr_walking_distance=908&from=searchresults#hotelTmpl,9.6,6.3,Review score ,77.0,Deluxe Room
"Ginger Mumbai Andheri (MIDC)
Opens in new window","Western Suburbs, Mumbai",https://www.booking.com/hotel/in/ginger-mumbai-andheri.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=349&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660910103&all_sr_blocks=40456401_347367925_0_42_0&highlighted_blocks=40456401_347367925_0_42_0&matching_block_id=40456401_347367925_0_42_0&sr_pri_blocks=40456401_347367925_0_42_0__3779370&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,18.5,6.4,Review score ,62.0,Standard Double or Twin Room
"Hotel Ratna Mahal
Opens in new window","Western Suburbs, Mumbai",https://www.booking.com/hotel/in/ratna-mahal-mumbai.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=350&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660910103&all_sr_blocks=577097501_223839460_2_2_0&highlighted_blocks=577097501_223839460_2_2_0&matching_block_id=577097501_223839460_2_2_0&sr_pri_blocks=577097501_223839460_2_2_0__2800000&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,16.1,5.8,Review score ,8.0,Standard Double Room
"BKC Dormitory Bandra East
Opens in new window","Bandra, Mumbai",https://www.booking.com/hotel/in/bkc-dormitory.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=351&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660910117&all_sr_blocks=771556601_335844173_2_0_0&highlighted_blocks=771556601_335844173_2_0_0&matching_block_id=771556601_335844173_2_0_0&sr_pri_blocks=771556601_335844173_2_0_0__910000&from_beach_sr=1&beach_sr_walking_distance=1347&from=searchresults#hotelTmpl,10.0,8.0,Very good ,19.0,Male Dormitory Room
"Hotel Samraj
Opens in new window","Western Suburbs, Mumbai",https://www.booking.com/hotel/in/samraj.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=352&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660910117&all_sr_blocks=105866607_326838900_0_2_0&highlighted_blocks=105866607_326838900_0_2_0&matching_block_id=105866607_326838900_0_2_0&sr_pri_blocks=105866607_326838900_0_2_0__2989000&from_beach_sr=1&from=searchresults#hotelTmpl,16.4,6.5,Review score ,33.0,Deluxe Double Room
"Bed and Breakfast at Colaba
Opens in new window","Colaba, Mumbai",https://www.booking.com/hotel/in/bed-and-breakfast-at-colaba.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=353&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660910117&all_sr_blocks=181570101_91431794_0_0_0&highlighted_blocks=181570101_91431794_0_0_0&matching_block_id=181570101_91431794_0_0_0&sr_pri_blocks=181570101_91431794_0_0_0__1750140&from_beach_sr=1&from=searchresults#hotelTmpl,5.6,8.1,Very good ,186.0,Double or Twin Room with Private External Bathroom
"Hotel Kohinoor Continental,Airport
Opens in new window","Western Suburbs, Mumbai",https://www.booking.com/hotel/in/kohinoor-continental.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=354&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660910117&all_sr_blocks=25529706_272218060_0_41_0&highlighted_blocks=25529706_272218060_0_41_0&matching_block_id=25529706_272218060_0_41_0&sr_pri_blocks=25529706_272218060_0_41_0__4409370&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,16.7,6.8,Review score ,212.0,"Superior Room with breakfast - 15% discount on food and beverage, Laundry and free late checkout upto 3 hours ( on availability)"
"De Classico Hotel
Opens in new window","Western Suburbs, Mumbai",https://www.booking.com/hotel/in/de-classico.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=355&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660910117&all_sr_blocks=793277701_339579947_2_0_0&highlighted_blocks=793277701_339579947_2_0_0&matching_block_id=793277701_339579947_2_0_0&sr_pri_blocks=793277701_339579947_2_0_0__1470000&from_beach_sr=1&beach_sr_walking_distance=73&from=searchresults#hotelTmpl,17.7,3.9,Review score ,11.0,Deluxe Double Room
"Shine Hospitality Empire
Opens in new window","Western Suburbs, Mumbai",https://www.booking.com/hotel/in/shine-hospitality-empire.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=356&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660910117&all_sr_blocks=791928402_338994853_0_2_0&highlighted_blocks=791928402_338994853_0_2_0&matching_block_id=791928402_338994853_0_2_0&sr_pri_blocks=791928402_338994853_0_2_0__1927800&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,16.5,7.3,Good ,20.0,Standard Double Room
"Regency Hotel
Opens in new window","Santacruz, Mumbai",https://www.booking.com/hotel/in/regency-mumbai.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=358&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660910117&all_sr_blocks=27908901_194726288_0_1_0&highlighted_blocks=27908901_194726288_0_1_0&matching_block_id=27908901_194726288_0_1_0&sr_pri_blocks=27908901_194726288_0_1_0__4550000&from_beach_sr=1&beach_sr_walking_distance=2240&from=searchresults#hotelTmpl,12.7,7.4,Good ,16.0,Standard Twin Room
"Hotel Rabis Inn by WB Inn
Opens in new window","Western Suburbs, Mumbai",https://www.booking.com/hotel/in/rabis-inn.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=359&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660910117&all_sr_blocks=742718001_332339264_0_2_0&highlighted_blocks=742718001_332339264_0_2_0&matching_block_id=742718001_332339264_0_2_0&sr_pri_blocks=742718001_332339264_0_2_0__2141370&from_beach_sr=1&from=searchresults#hotelTmpl,17.9,8.1,Very good ,8.0,Standard Twin Room
"Hotel Kishish Kunj
Opens in new window","Santacruz, Mumbai",https://www.booking.com/hotel/in/kishish-kunj-mumbai2.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=361&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660910117&all_sr_blocks=859562903_353774014_2_0_0&highlighted_blocks=859562903_353774014_2_0_0&matching_block_id=859562903_353774014_2_0_0&sr_pri_blocks=859562903_353774014_2_0_0__1400000&from_beach_sr=1&beach_sr_walking_distance=1802&from=searchresults#hotelTmpl,13.0,1.3,Review score ,3.0,Standard Double Room
"Treebo Trip New Prince Palace
Opens in new window","Central Suburbs, Mumbai",https://www.booking.com/hotel/in/embassy-suites-mumbai1.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=362&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660910117&all_sr_blocks=707638205_359585070_2_1_0&highlighted_blocks=707638205_359585070_2_1_0&matching_block_id=707638205_359585070_2_1_0&sr_pri_blocks=707638205_359585070_2_1_0__1568000&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,11.2,5.7,Review score ,36.0,Double Room
"Hotel Heritage
Opens in new window","Bandra Kurla Complex, Mumbai",https://www.booking.com/hotel/in/heritage-mumbai2.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=363&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660910117&all_sr_blocks=868933901_356536674_2_0_0&highlighted_blocks=868933901_356536674_2_0_0&matching_block_id=868933901_356536674_2_0_0&sr_pri_blocks=868933901_356536674_2_0_0__1960000&from_beach_sr=1&from=searchresults#hotelTmpl,13.3,5.0,Review score ,1.0,Deluxe Room
"Hotel Nice Stay
Opens in new window","Western Suburbs, Mumbai",https://www.booking.com/hotel/in/nice-stay-mumbai.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=365&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660910117&all_sr_blocks=614152102_246828198_2_42_0&highlighted_blocks=614152102_246828198_2_42_0&matching_block_id=614152102_246828198_2_42_0&sr_pri_blocks=614152102_246828198_2_42_0__2170000&from_beach_sr=1&from=searchresults#hotelTmpl,29.1,6.3,Review score ,20.0,Deluxe Double Room
"Hotel West Blue
Opens in new window","Western Suburbs, Mumbai",https://www.booking.com/hotel/in/treebo-west-blue.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=366&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660910117&all_sr_blocks=407178702_344845162_0_2_0&highlighted_blocks=407178702_344845162_0_2_0&matching_block_id=407178702_344845162_0_2_0&sr_pri_blocks=407178702_344845162_0_2_0__1927000&from_beach_sr=1&beach_sr_walking_distance=2316&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,18.7,6.1,Review score ,51.0,Standard Room
"Hotel Malad Inn
Opens in new window","Western Suburbs, Mumbai",https://www.booking.com/hotel/in/malad-inn.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=367&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660910117&all_sr_blocks=616646601_244218147_0_2_0&highlighted_blocks=616646601_244218147_0_2_0&matching_block_id=616646601_244218147_0_2_0&sr_pri_blocks=616646601_244218147_0_2_0__2082500&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,24.2,6.6,Review score ,47.0,Deluxe Double Room
"Hotel Alfa Heritage
Opens in new window","South Mumbai, Mumbai",https://www.booking.com/hotel/in/alfa-heritage.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=369&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660910117&all_sr_blocks=365118001_201269965_0_42_0&highlighted_blocks=365118001_201269965_0_42_0&matching_block_id=365118001_201269965_0_42_0&sr_pri_blocks=365118001_201269965_0_42_0__1827000&from_beach_sr=1&from=searchresults#hotelTmpl,1.8,8.0,Very good ,21.0,Deluxe Double Room
"Eco Rooms Parel
Opens in new window","Central, Mumbai",https://www.booking.com/hotel/in/eco-rooms-parel.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=370&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660910117&all_sr_blocks=724500001_351715565_2_1_0&highlighted_blocks=724500001_351715565_2_1_0&matching_block_id=724500001_351715565_2_1_0&sr_pri_blocks=724500001_351715565_2_1_0__1330000&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,3.1,5.7,Review score ,11.0,Double Room
"Hotel Parklane
Opens in new window","Dadar, Mumbai",https://www.booking.com/hotel/in/parklane-mumbai.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=371&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660910117&all_sr_blocks=201155601_353025462_2_1_0&highlighted_blocks=201155601_353025462_2_1_0&matching_block_id=201155601_353025462_2_1_0&sr_pri_blocks=201155601_353025462_2_1_0__3150000&from_beach_sr=1&from=searchresults#hotelTmpl,5.7,6.2,Review score ,34.0,Executive Room
"Hotel Embassy Suites
Opens in new window","Central Suburbs, Mumbai",https://www.booking.com/hotel/in/embassy-suites-mumbai.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=372&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660910117&all_sr_blocks=552112202_203963210_2_2_0&highlighted_blocks=552112202_203963210_2_2_0&matching_block_id=552112202_203963210_2_2_0&sr_pri_blocks=552112202_203963210_2_2_0__1470000&from_beach_sr=1&from=searchresults#hotelTmpl,11.2,3.8,Review score ,26.0,Deluxe Double Room
"OYO 19156 Hotel Greenforest
Opens in new window","Western Suburbs, Mumbai",https://www.booking.com/hotel/in/green-forest-mumbai.en-gb.html?label=gog235jc-1DCAIobDgOSAlYA2hsiAEBmAEJuAEXyAEM2AED6AEB-AECiAIBqAIDuALh8f2XBsACAdICJDk5YmZlNDU2LTM2ZGYtNGZjNS1hYjQxLTEzZmU0NDEyNmFjM9gCBOACAQ&sid=83f0a792af7077737a7385020a703468&aid=356980&ucfs=1&arphpl=1&checkin=2022-09-18&checkout=2022-09-25&dest_id=-2092174&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=373&sr_order=popularity&srpvid=b81b536152c50243&srepoch=1660910117&all_sr_blocks=403834503_350843928_2_0_0&highlighted_blocks=403834503_350843928_2_0_0&matching_block_id=403834503_350843928_2_0_0&sr_pri_blocks=403834503_350843928_2_0_0__896696&from_beach_sr=1&from=searchresults#hotelTmpl,18.5,5.8,Review score ,15.0,Small Double Room
